"Authorize","Autorisieren"
"Authorize and Capture","Autorisieren und Erfassen"
"Payment Action","Zahlungsaktion"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Wählen Sie, ob Sie Zahlungen nur autorisieren oder sofort autorisieren und erfassen möchten. Hinweis: Vorautorisierung (Option Autorisieren) wird nur für Kartenzahlungen unterstützt, nicht für MBWay oder Multibanco."
"Authorized Status","Autorisierter Status"
"Captured Status","Erfasster Status"
"Test","Test"
"Production","Produktion"
"Callback signature verification failed","Überprüfung der Callback-Signatur fehlgeschlagen"
"Something went wrong while processing the payment. Quote was restored.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten. Der Warenkorb wurde wiederhergestellt."
"Something went wrong while processing the payment. Cannot restore previous quote.","Bei der Verarbeitung der Zahlung ist ein Fehler aufgetreten. Der vorherige Warenkorb kann nicht wiederhergestellt werden."
"Payment was canceled. Quote was restored.","Die Zahlung wurde storniert. Der Warenkorb wurde wiederhergestellt."
"Duplicated","Dupliziert"
"Fraudulent","Betrügerisch"
"Requested by customer","Vom Kunden angefordert"
"Required parameter ""%1"" is missing or empty.","Der erforderliche Parameter ""%1"" fehlt oder ist leer."
"MONEI - Pending","MONEI - Ausstehend"
"MONEI - Authorized","MONEI - Autorisiert"
"MONEI - Expired","MONEI - Abgelaufen"
"MONEI - Failed","MONEI - Fehlgeschlagen"
"MONEI - Succeeded","MONEI - Erfolgreich"
"MONEI - Partially Refunded","MONEI - Teilweise Erstattet"
"MONEI - Refunded","MONEI - Erstattet"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Stornierungsgrund '%1' ist nicht gültig. Erlaubte Gründe: %2"
"%1 should be numeric value","%1 sollte ein numerischer Wert sein"
"Refund reason","Erstattungsgrund"
"Pay with Monei","Mit MONEI bezahlen"
"method:","Methode"
"last4:","Letzte 4 Ziffern"
"brand:","Marke"
"phoneNumber:","Telefonnummer"
"Cardholder","Karteninhaber"
"Payment Method","Zahlungsmethode"
"Digital Wallet","Digitale Geldbörse"
"Issuing Bank","Ausstellende Bank"
"Phone Number","Telefonnummer"
"Country","Land"
"Country Code","Ländercode"
"Required parameters are missing. Cannot proceed with cancellation.","Erforderliche Parameter fehlen. Die Stornierung kann nicht fortgesetzt werden."
"MONEI payment cancellation failed: %1","MONEI-Zahlungsstornierung fehlgeschlagen: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI-Zahlungsstornierung fehlgeschlagen. Bitte überprüfen Sie die Protokolle für weitere Details."
"The order has been successfully canceled.","Die Bestellung wurde erfolgreich storniert."
"Order cancellation failed: %1","Bestellungsstornierung fehlgeschlagen: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Bei der Zahlungsstornierung ist ein unerwarteter Fehler aufgetreten. Bitte überprüfen Sie die Protokolle für weitere Details."
"Invalid request: %1","Ungültige Anfrage: %1"
"Payment required: %1","Zahlung erforderlich: %1"
"Resource not found: %1","Ressource nicht gefunden: %1"
"Operation conflict: %1","Operationskonflikt: %1"
"Validation error: %1","Validierungsfehler: %1"
"An error occurred during the payment process","Während des Zahlungsprozesses ist ein Fehler aufgetreten"
"Please enter the name on the card.","Bitte geben Sie den Namen auf der Karte ein."
"Please enter the name exactly as it appears on the card.","Bitte geben Sie den Namen genau so ein, wie er auf der Karte erscheint."
"(Test Mode)","(Testmodus)"
"Payment ID","Zahlungs-ID"
"Authorization Code","Autorisierungscode"
"Cardholder Email","E-Mail des Karteninhabers"
"IBAN","IBAN"
"Account Holder","Kontoinhaber"
"MONEI","MONEI"
"Current Version","Aktuelle Version"
"Webservice Settings:","Webservice-Einstellungen:"
"Mode","Modus"
"To define if we are going to connect with production or testing WS environment","Um zu definieren, ob wir eine Verbindung zur Produktions- oder Testumgebung herstellen"
"Test Account Id","Test-Konto-ID"
"Production Account Id","Produktions-Konto-ID"
"Test Api Key","Test-API-Schlüssel"
"Production Api Key","Produktions-API-Schlüssel"
"Language","Sprache"
"Basic settings:","Grundeinstellungen:"
"Email Settings:","E-Mail-Einstellungen:"
"Send Order Email","Bestellbestätigung senden"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Controls whether to send order confirmation emails after payment is confirmed","Steuert, ob Bestellbestätigungs-E-Mails nach Zahlungsbestätigung gesendet werden"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Steuert, ob Rechnungs-E-Mails für automatisch erstellte Rechnungen gesendet werden. Hat keinen Einfluss auf manuell erstellte Rechnungen, bei denen Händler wählen können, ob Kunden während der Erstellung benachrichtigt werden sollen."
"MONEI Redirect:","MONEI-Weiterleitung:"
"Enable","Aktivieren"
"Title","Titel"
"Description","Beschreibung"
"Payment from Applicable Countries","Zahlung aus anwendbaren Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Sort Order","Sortierreihenfolge"
"MONEI Card Insite:","MONEI-Karte vor Ort:"
"Enable tokenization","Tokenisierung aktivieren"
"Json style","JSON-Stil"
"MONEI Bizum Insite:","MONEI Bizum vor Ort:"
"MONEI Google and Apple Pay Insite:","MONEI Google und Apple Pay vor Ort:"
"Title Google Pay","Titel Google Pay"
"Title Apple Pay","Titel Apple Pay"
"Title Multibanco","Titel Multibanco"
"Title MBWay","Titel MBWay"
"Multibanco Redirect:","Multibanco-Weiterleitung:"
"MBWay Redirect:","MBWay-Weiterleitung:"
"MONEI PayPal Insite:","MONEI PayPal vor Ort:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Wählen Sie 'Ja', wenn Sie diese Zahlungsmethode aktivieren möchten. Andernfalls 'Nein'."
"Text that will be displayed in checkout","Text, der im Checkout angezeigt wird"
"Text that will be displayed in checkout for Google Pay","Text, der im Checkout für Google Pay angezeigt wird"
"Text that will be displayed in checkout for Apple Pay","Text, der im Checkout für Apple Pay angezeigt wird"
"Text that will be displayed in checkout for Multibanco","Text, der im Checkout für Multibanco angezeigt wird"
"Text that will be displayed in checkout for MBWay","Text, der im Checkout für MBWay angezeigt wird"
"Small description that will be displayed in checkout (Under title)","Kleine Beschreibung, die im Checkout angezeigt wird (unter dem Titel)"
"Selectable with all the processing order statuses","Auswählbar mit allen Bestellstatus in Bearbeitung"
"Selectable with all the pending order statuses","Auswählbar mit allen ausstehenden Bestellstatus"
"In which order the payment method will be displayed in checkout","In welcher Reihenfolge die Zahlungsmethode im Checkout angezeigt wird"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten? Diese Aktion storniert automatisch die autorisierte (nicht erfasste) Zahlung und gibt die Gelder des Kunden frei."
"Cancel the order","Bestellung stornieren"
"Never mind","Nicht wichtig"
"Cancel","Abbrechen"
"Cancellation reason","Stornierungsgrund"
"MONEI API key is not configured. Please set it in the module configuration.","Der MONEI-API-Schlüssel ist nicht konfiguriert. Bitte setzen Sie ihn in der Modulkonfiguration."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Kartenkomponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Bizum-Komponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Benutzerdefinierter JSON-Stil für die Google- und Apple-Komponente. Weitere Informationen <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">hier</a>"
"Allowed Countries","Erlaubte Länder"
"Checking payment status...","Zahlungsstatus wird überprüft..."
"Checking payment status, it may take a few seconds...","Zahlungsstatus wird überprüft, es kann einige Sekunden dauern..."
"Loading","Wird geladen"
"Payment error: %1","Zahlungsfehler: %1"
"Payment error with code %1: %2","Zahlungsfehler mit Code %1: %2"
"Payment was canceled by the customer or the payment processor","Die Zahlung wurde vom Kunden oder vom Zahlungsabwickler storniert"
"Payment expired","Zahlung abgelaufen"
"Transaction approved","Transaktion genehmigt"
"Service internal error. Please contact support","Interner Servicefehler. Bitte kontaktieren Sie den Support"
"Transaction failed during payment processing","Transaktion während der Zahlungsverarbeitung fehlgeschlagen"
"Transaction declined by the card-issuing bank","Transaktion von der kartenausstellenden Bank abgelehnt"
"Transaction declined by the issuing bank","Transaktion von der ausstellenden Bank abgelehnt"
"Payment method not allowed","Zahlungsmethode nicht erlaubt"
"Wrong or not allowed currency","Falsche oder nicht erlaubte Währung"
"Card rejected: invalid card number","Karte abgelehnt: ungültige Kartennummer"
"Card rejected: wrong expiration date","Karte abgelehnt: falsches Ablaufdatum"
"Card rejected: wrong CVC/CVV2 number","Karte abgelehnt: falsche CVC/CVV2-Nummer"
"Card number not registered","Kartennummer nicht registriert"
"Card is expired","Karte ist abgelaufen"
"Strong Customer Authentication required","Starke Kundenauthentifizierung erforderlich"
"3D Secure authentication failed","3D-Secure-Authentifizierung fehlgeschlagen"
"Authentication process timed out. Please try again","Authentifizierungsprozess abgelaufen. Bitte versuchen Sie es erneut"
"Transaction declined due to insufficient funds","Transaktion aufgrund unzureichender Mittel abgelehnt"
"The user has canceled the payment","Der Benutzer hat die Zahlung storniert"
"Unknown error code: %1","Unbekannter Fehlercode: %1"
"You do not have permission to save this configuration.","Sie haben keine Berechtigung, diese Konfiguration zu speichern."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Ungültiges JSON-Format im Feld %1: %2. Bitte stellen Sie sicher, dass Sie gültiges JSON angeben. Beispiele:
                - Für einen einfachen Stil: {"height":"45px"}
                - Für verschachtelte Eigenschaften: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Stellen Sie sicher, dass alle Eigenschaftsnamen und Zeichenkettenwerte in doppelte Anführungszeichen eingeschlossen sind
                - Nach der letzten Eigenschaft sind keine nachfolgenden Kommas erlaubt"
"The resource isn't set.","Die Ressource ist nicht festgelegt."
"An error occurred rendering the pay with card. Please try again later.","Beim Rendern der Zahlung mit Karte ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Name on card","Name auf der Karte"
"Card number","Kartennummer"
"Save payment information to my account for future purchases","Zahlungsinformationen für zukünftige Einkäufe in meinem Konto speichern"
"An error occurred trying save the card.","Beim Versuch, die Karte zu speichern, ist ein Fehler aufgetreten."
"expires","läuft ab"
"It is not possible to make the payment with the saved card.","Es ist nicht möglich, die Zahlung mit der gespeicherten Karte durchzuführen."
"Save MONEI tokenization?","MONEI-Tokenisierung speichern?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI-Zahlungsmethoden sind nicht verfügbar. Bitte überprüfen Sie Ihre MONEI-Konfiguration."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Die Bizum-Zahlungsmethode ist in Ihrem MONEI-Konto nicht verfügbar. Bitte aktivieren Sie sie in Ihrem MONEI-Konto, um sie zu nutzen."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Die Kartenzahlungsmethode ist in Ihrem MONEI-Konto nicht verfügbar. Bitte aktivieren Sie sie in Ihrem MONEI-Konto, um sie zu nutzen."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay- und Apple Pay-Zahlungsmethoden sind in Ihrem MONEI-Konto nicht verfügbar. Aktivieren Sie mindestens eine davon in Ihrem MONEI-Konto, um sie zu nutzen."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Die Multibanco-Zahlungsmethode ist in Ihrem MONEI-Konto nicht verfügbar. Bitte aktivieren Sie sie in Ihrem MONEI-Konto, um sie zu nutzen."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Die MBWay-Zahlungsmethode ist in Ihrem MONEI-Konto nicht verfügbar. Bitte aktivieren Sie sie in Ihrem MONEI-Konto, um sie zu nutzen."
"Payment failed: %1","Zahlung fehlgeschlagen: %1"
"Payment failed with error code %1: %2","Zahlung fehlgeschlagen mit Fehlercode %1: %2"
"Stored Cards","Gespeicherte Karten"
"Place Order","Bestellung aufgeben"
"Check / Money order","Scheck / Zahlungsanweisung"
"Pay with other payment methods","Mit anderen Zahlungsmethoden bezahlen"
"Pay with card","Mit Karte bezahlen"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Gespeicherte Karten (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Zahlung wird verarbeitet"
"Format JSON","JSON formatieren"
"Invalid JSON","Ungültiges JSON"
"The JSON entered is invalid: %1","Das eingegebene JSON ist ungültig: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Bitte geben Sie gültiges JSON ein. Beispiele: {"height":"45px"} oder {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Bei der Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"There was an error processing your payment. Please try again.","Bei der Verarbeitung Ihrer Zahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut."
"Ok","Ok"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"English","Englisch"
"Spanish","Spanisch"
"Catalan","Katalanisch"
"Portuguese","Portugiesisch"
"German","Deutsch"
"Italian","Italienisch"
"French","Französisch"
"Dutch","Niederländisch"
"Estonian","Estnisch"
"Finnish","Finnisch"
"Latvian","Lettisch"
"Norwegian","Norwegisch"
"Polish","Polnisch"
"Russian","Russisch"
"Card","Karte"
"The credit memo's total must be positive.","Die Gesamtsumme der Gutschrift muss positiv sein."
"Cannot create online refund for Refund to Store Credit.","Online-Rückerstattung für Rückerstattung auf Geschäftsguthaben kann nicht erstellt werden."
"You created the credit memo.","Sie haben die Gutschrift erstellt."
"We can't save the credit memo right now.","Die Gutschrift kann derzeit nicht gespeichert werden."
"Your payment was canceled. Your cart has been restored so you can try again.","Ihre Zahlung wurde storniert. Ihr Warenkorb wurde wiederhergestellt, damit Sie es erneut versuchen können."
"Your payment expired. Your cart has been restored so you can try again.","Ihre Zahlung ist abgelaufen. Ihr Warenkorb wurde wiederhergestellt, damit Sie es erneut versuchen können."
"There was a problem processing your payment. Your cart has been restored so you can try again.","Bei der Verarbeitung Ihrer Zahlung ist ein Problem aufgetreten. Ihr Warenkorb wurde wiederhergestellt, damit Sie es erneut versuchen können."
"An unexpected error occurred. Please try again or contact customer support.","Ein unerwarteter Fehler ist aufgetreten. Bitte versuchen Sie es erneut oder kontaktieren Sie den Kundenservice."
"Invalid form key. Please refresh the page and try again.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite und versuchen Sie es erneut."
"No payment method selected.","Keine Zahlungsmethode ausgewählt."
"No order found. Please return to checkout and try again.","Keine Bestellung gefunden. Bitte kehren Sie zum Checkout zurück und versuchen Sie es erneut."
"Unable to process payment. Please try again.","Zahlung kann nicht verarbeitet werden. Bitte versuchen Sie es erneut."
"Cannot capture payment: Missing payment ID","Zahlung kann nicht erfasst werden: Fehlende Zahlungs-ID"
"Error capturing payment: %1","Fehler beim Erfassen der Zahlung: %1"
"Cannot process refund: Monei payment ID is missing.","Rückerstattung kann nicht verarbeitet werden: Monei-Zahlungs-ID fehlt."
"Error processing refund: %1","Fehler bei der Verarbeitung der Rückerstattung: %1"
"•••• %1","•••• %1"
"PayPal payment method is not available in your Monei account. Please enable it in your Monei account to use it.","Die PayPal-Zahlungsmethode ist in Ihrem Monei-Konto nicht verfügbar. Bitte aktivieren Sie sie in Ihrem Monei-Konto, um sie zu nutzen."
"Error","Fehler"
"Warning","Warnung"
"Info","Info"
"Debug","Debug"
"Insite","Vor Ort"
"Missing required field: %1","Erforderliches Feld fehlt: %1"
"Failed to convert Payment object to DTO: %1","Konvertierung des Zahlungsobjekts in DTO fehlgeschlagen: %1"
"MONEI Payment Error: %1","MONEI-Zahlungsfehler: %1"
"Unable to acquire payment lock for order %1, payment %2","Zahlungssperre für Bestellung %1, Zahlung %2 kann nicht erworben werden"
"Unable to acquire order lock for order %1","Bestellsperre für Bestellung %1 kann nicht erworben werden"
"Failed to fetch payment data: %1","Abrufen der Zahlungsdaten fehlgeschlagen: %1"
"Order status set to %1 after full refund.","Bestellstatus nach vollständiger Rückerstattung auf %1 gesetzt."
"Failed to execute %1: %2","Ausführung von %1 fehlgeschlagen: %2"
"Store configuration issue: %1","Problem mit der Shop-Konfiguration: %1"
"An unexpected error occurred: %1","Ein unerwarteter Fehler ist aufgetreten: %1"
"Parameter ""%1"" failed validation.","Parameter ""%1"" hat die Validierung nicht bestanden."
"Authentication error: Please check your MONEI API credentials","Authentifizierungsfehler: Bitte überprüfen Sie Ihre MONEI-API-Zugangsdaten"
"Access denied: Your account does not have permission for this operation","Zugriff verweigert: Ihr Konto hat keine Berechtigung für diese Operation"
"Too many requests: Please try again later","Zu viele Anfragen: Bitte versuchen Sie es später erneut"
"MONEI payment service is currently unavailable. Please try again later.","Der MONEI-Zahlungsservice ist derzeit nicht verfügbar. Bitte versuchen Sie es später erneut."
"Payment ID is required to retrieve payment details","Zahlungs-ID ist erforderlich, um Zahlungsdetails abzurufen"
"Failed to initialize MONEI payment gateway: %1","Initialisierung des MONEI-Zahlungsgateways fehlgeschlagen: %1"
"Cannot reinitialize MONEI SDK with an empty API key","MONEI SDK kann nicht mit leerem API-Schlüssel neu initialisiert werden"
"Authentication error during reinitialization: Please check your MONEI API credentials","Authentifizierungsfehler während der Neuinitialisierung: Bitte überprüfen Sie Ihre MONEI-API-Zugangsdaten"
"Failed to reinitialize MONEI payment gateway: %1","Neuinitialisierung des MONEI-Zahlungsgateways fehlgeschlagen: %1"
"Domain is required for Apple Pay verification","Domain ist für Apple Pay-Verifizierung erforderlich"
"Could not load quote information","Angebotsinformationen konnten nicht geladen werden"
"Quote not found for this cart ID","Angebot für diese Warenkorb-ID nicht gefunden"
"An error occurred while retrieving quote information","Beim Abrufen der Angebotsinformationen ist ein Fehler aufgetreten"
"Customer must be logged in to use saved cards","Kunde muss angemeldet sein, um gespeicherte Karten zu verwenden"
"The requested saved card was not found","Die angeforderte gespeicherte Karte wurde nicht gefunden"
"Quote or payment card information not found","Angebots- oder Zahlungskartendaten nicht gefunden"
"Could not retrieve the saved card information.","Die gespeicherten Karteninformationen konnten nicht abgerufen werden."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI unterstützt nur eine teilweise Erfassung pro Zahlung. Bitte erfassen Sie den gesamten verbleibenden Betrag."
"Cannot create an invoice without items.","Rechnung kann nicht ohne Artikel erstellt werden."
"Payment not found","Zahlung nicht gefunden"
"Payment cannot be refunded","Zahlung kann nicht erstattet werden"
"Quote not found","Angebot nicht gefunden"
"Error processing payment","Fehler bei der Verarbeitung der Zahlung"
"Error processing payment with saved card","Fehler bei der Verarbeitung der Zahlung mit gespeicherter Karte"
"Customer Email","Kunden-E-Mail"
"Customer Name","Kundenname"
"PayPal Order ID","PayPal-Bestellnummer"
"PayPal Customer ID","PayPal-Kundennummer"
"Payment details will be available after payment confirmation","Zahlungsdetails werden nach Zahlungsbestätigung verfügbar sein"
"Payment &amp; Shipping Method","Zahlungs- &amp; Versandmethode"
"Payment Information","Zahlungsinformationen"
"Shipping Information","Versandinformationen"
"Total Shipping Charges","Gesamte Versandkosten"
"Incl. Tax","Inkl. MwSt."
"Refund Information","Rückerstattungsinformationen"
"MONEI Payment Details","MONEI-Zahlungsdetails"
"Payment ID:","Zahlungs-ID:"
"Status:","Status:"
"Error Code:","Fehlercode:"
"Error Message:","Fehlermeldung:"
"Amount:","Betrag:"
"Last Updated:","Zuletzt aktualisiert:"
"Log Level","Protokollierungsstufe"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Wählen Sie die Protokollierungsstufe für Debug-Zwecke. Höhere Stufen beinhalten alle niedrigeren Stufen."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Benutzerdefinierter JSON-Stil für die PayPal-Komponente. Muss ein gültiges JSON-Format sein. Weitere Informationen <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">hier</a>"
