"Authorize","Autoriseeri"
"Authorize and Capture","Autoriseeri ja Kinnita"
"Payment Action","Makse Tegevus"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Valige, kas soovite makseid ainult autoriseerida või neid kohe autoriseerida ja kinnitada. Märkus: Eelautoriseerimine (Autoriseeri valik) on toetatud ainult kaardimaksete puhul, mitte MBWay või Multibanco puhul."
"Authorized Status","Autoriseeritud Olek"
"Captured Status","Kinnitatud Olek"
"Test","Test"
"Production","Tootmine"
"Callback signature verification failed","Tagasikutse allkirja kontrollimine ebaõnnestus"
"Something went wrong while processing the payment. Quote was restored.","Makse töötlemisel läks midagi valesti. Ostukorv taastati."
"Something went wrong while processing the payment. Cannot restore previous quote.","Makse töötlemisel läks midagi valesti. Eelmist ostukorvi ei saa taastada."
"Payment was canceled. Quote was restored.","Makse tühistati. Ostukorv taastati."
"Duplicated","Dubleeritud"
"Fraudulent","Petturlik"
"Requested by customer","Kliendi poolt taotletud"
"Required parameter ""%1"" is missing or empty.","Nõutav parameeter ""%1"" puudub või on tühi."
"MONEI - Pending","MONEI - Ootel"
"MONEI - Authorized","MONEI - Autoriseeritud"
"MONEI - Expired","MONEI - Aegunud"
"MONEI - Failed","MONEI - Ebaõnnestunud"
"MONEI - Succeeded","MONEI - Õnnestunud"
"MONEI - Partially Refunded","MONEI - Osaliselt Tagastatud"
"MONEI - Refunded","MONEI - Tagastatud"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Tühistamise põhjus '%1' ei ole kehtiv. Lubatud põhjused: %2"
"%1 should be numeric value","%1 peaks olema numbriline väärtus"
"Refund reason","Tagastamise põhjus"
"Pay with Monei","Maksa MONEI-ga"
"method:","Meetod"
"last4:","Viimased 4 numbrit"
"brand:","Bränd"
"phoneNumber:","Telefoninumber"
"Cardholder","Kaardi omanik"
"Payment Method","Makseviis"
"Digital Wallet","Digitaalne Rahakott"
"Issuing Bank","Väljastav Pank"
"Phone Number","Telefoninumber"
"Country","Riik"
"Country Code","Riigi kood"
"Required parameters are missing. Cannot proceed with cancellation.","Vajalikud parameetrid puuduvad. Ei saa tühistamisega jätkata."
"MONEI payment cancellation failed: %1","MONEI makse tühistamine ebaõnnestus: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI makse tühistamine ebaõnnestus. Palun kontrollige logisid täpsema teabe saamiseks."
"The order has been successfully canceled.","Tellimus on edukalt tühistatud."
"Order cancellation failed: %1","Tellimuse tühistamine ebaõnnestus: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Makse tühistamise ajal ilmnes ootamatu viga. Palun kontrollige logisid täpsema teabe saamiseks."
"Invalid request: %1","Kehtetu päring: %1"
"Payment required: %1","Makse nõutav: %1"
"Resource not found: %1","Ressurssi ei leitud: %1"
"Operation conflict: %1","Operatsiooni konflikt: %1"
"Validation error: %1","Valideerimise viga: %1"
"An error occurred during the payment process","Makseprotsessi ajal ilmnes viga"
"Please enter the name on the card.","Palun sisestage kaardil olev nimi."
"Please enter the name exactly as it appears on the card.","Palun sisestage nimi täpselt nii, nagu see on kaardil."
"(Test Mode)","(Testrežiim)"
"Payment ID","Makse ID"
"Authorization Code","Autoriseerimiskood"
"Cardholder Email","Kaardiomaniku E-post"
"IBAN","IBAN"
"Account Holder","Konto Omanik"
"MONEI","MONEI"
"Current Version","Praegune Versioon"
"Webservice Settings:","Veebiteenuse Seaded:"
"Mode","Režiim"
"To define if we are going to connect with production or testing WS environment","Määratlemaks, kas ühendume tootmis- või testimiskeskkonnaga"
"Test Account Id","Testkonto ID"
"Production Account Id","Tootmiskonto ID"
"Test Api Key","Testi API Võti"
"Production Api Key","Tootmise API Võti"
"Language","Keel"
"Basic settings:","Põhiseaded:"
"Email Settings:","E-posti Seaded:"
"Send Order Email","Saada Tellimuse E-post"
"Send Invoice Email","Saada Arve E-post"
"Controls whether to send order confirmation emails after payment is confirmed","Kontrollib, kas saata tellimuse kinnituse e-kirjad pärast makse kinnitamist"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Kontrollib, kas saata arve e-kirjad automaatselt loodud arvete puhul. Ei mõjuta käsitsi loodud arveid, mille puhul kaupmehed saavad valida, kas teavitada kliente loomise ajal."
"MONEI Redirect:","MONEI Ümbersuunamine:"
"Enable","Luba"
"Title","Pealkiri"
"Description","Kirjeldus"
"Payment from Applicable Countries","Makse Rakendatavatest Riikidest"
"Payment from Specific Countries","Makse Konkreetsetest Riikidest"
"Sort Order","Sorteerimise Järjekord"
"MONEI Card Insite:","MONEI Kaart Kohapeal:"
"Enable tokenization","Luba tokeniseerimine"
"Json style","Json stiil"
"MONEI Bizum Insite:","MONEI Bizum Kohapeal:"
"MONEI Google and Apple Pay Insite:","MONEI Google ja Apple Pay Kohapeal:"
"Title Google Pay","Pealkiri Google Pay"
"Title Apple Pay","Pealkiri Apple Pay"
"Title Multibanco","Pealkiri Multibanco"
"Title MBWay","Pealkiri MBWay"
"Multibanco Redirect:","Multibanco Ümbersuunamine:"
"MBWay Redirect:","MBWay Ümbersuunamine:"
"MONEI PayPal Insite:","MONEI PayPal Kohapeal:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Valige 'Jah', kui soovite selle makseviisi lubada. Vastasel juhul 'Ei'."
"Text that will be displayed in checkout","Tekst, mis kuvatakse kassas"
"Text that will be displayed in checkout for Google Pay","Tekst, mis kuvatakse kassas Google Pay jaoks"
"Text that will be displayed in checkout for Apple Pay","Tekst, mis kuvatakse kassas Apple Pay jaoks"
"Text that will be displayed in checkout for Multibanco","Tekst, mis kuvatakse kassas Multibanco jaoks"
"Text that will be displayed in checkout for MBWay","Tekst, mis kuvatakse kassas MBWay jaoks"
"Small description that will be displayed in checkout (Under title)","Väike kirjeldus, mis kuvatakse kassas (pealkirja all)"
"Selectable with all the processing order statuses","Valitav kõigi töötlevate tellimuse olekutega"
"Selectable with all the pending order statuses","Valitav kõigi ootel tellimuse olekutega"
"In which order the payment method will be displayed in checkout","Millises järjekorras makseviis kassas kuvatakse"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Kas olete kindel, et soovite selle tellimuse tühistada? See toiming tühistab automaatselt autoriseeritud (kinnitamata) makse ja vabastab kliendi vahendid."
"Cancel the order","Tühista tellimus"
"Never mind","Pole oluline"
"Cancel","Tühista"
"Cancellation reason","Tühistamise põhjus"
"MONEI API key is not configured. Please set it in the module configuration.","MONEI API võti pole konfigureeritud. Palun seadistage see mooduli konfiguratsioonis."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Kohandatud json stiil kaardi komponendile. Vaata rohkem infot <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">siin</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Kohandatud json stiil bizum komponendile. Vaata rohkem infot <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">siin</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Kohandatud json stiil google ja apple komponendile. Vaata rohkem infot <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">siin</a>"
"Allowed Countries","Lubatud Riigid"
"Checking payment status...","Makse oleku kontrollimine..."
"Checking payment status, it may take a few seconds...","Makse oleku kontrollimine, see võib võtta mõne sekundi..."
"Loading","Laadimine"
"Payment error: %1","Makse viga: %1"
"Payment error with code %1: %2","Makse viga koodiga %1: %2"
"Payment was canceled by the customer or the payment processor","Makse tühistati kliendi või makseteenuse pakkuja poolt"
"Payment expired","Makse aegus"
"Transaction approved","Tehing kinnitatud"
"Service internal error. Please contact support","Teenuse sisemine viga. Palun võtke ühendust toega"
"Transaction failed during payment processing","Tehing ebaõnnestus makse töötlemise ajal"
"Transaction declined by the card-issuing bank","Tehing lükati tagasi kaardi väljastanud panga poolt"
"Transaction declined by the issuing bank","Tehing lükati tagasi väljastava panga poolt"
"Payment method not allowed","Makseviis pole lubatud"
"Wrong or not allowed currency","Vale või mittelubatud valuuta"
"Card rejected: invalid card number","Kaart tagasi lükatud: kehtetu kaardinumber"
"Card rejected: wrong expiration date","Kaart tagasi lükatud: vale aegumiskuupäev"
"Card rejected: wrong CVC/CVV2 number","Kaart tagasi lükatud: vale CVC/CVV2 number"
"Card number not registered","Kaardinumber pole registreeritud"
"Card is expired","Kaart on aegunud"
"Strong Customer Authentication required","Tugev Kliendi Autentimine nõutav"
"3D Secure authentication failed","3D Secure autentimine ebaõnnestus"
"Authentication process timed out. Please try again","Autentimisprotsess aegus. Palun proovige uuesti"
"Transaction declined due to insufficient funds","Tehing lükati tagasi ebapiisavate vahendite tõttu"
"The user has canceled the payment","Kasutaja on makse tühistanud"
"Unknown error code: %1","Tundmatu veakood: %1"
"You do not have permission to save this configuration.","Teil pole õigust seda konfiguratsiooni salvestada."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Kehtetu JSON formaat väljal %1: %2. Palun veenduge, et esitate kehtiva JSON-i. Näited:
                - Lihtsa stiili jaoks: {"height":"45px"}
                - Pesastatud omaduste jaoks: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Veenduge, et kõik omaduste nimed ja stringi väärtused on topeltjutumärkides
                - Pärast viimast omadust pole lubatud lõpetavad komad"
"The resource isn't set.","Ressurss pole määratud."
"An error occurred rendering the pay with card. Please try again later.","Kaardiga maksmise renderdamisel ilmnes viga. Palun proovige hiljem uuesti."
"Name on card","Nimi kaardil"
"Card number","Kaardi number"
"Save payment information to my account for future purchases","Salvesta makseinfo minu kontole tulevasteks ostudeks"
"An error occurred trying save the card.","Kaardi salvestamisel ilmnes viga."
"expires","aegub"
"It is not possible to make the payment with the saved card.","Salvestatud kaardiga pole võimalik makset teha."
"Save MONEI tokenization?","Salvesta MONEI tokeniseerimine?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI makseviisid pole saadaval. Palun kontrollige oma MONEI konfiguratsiooni."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Bizum makseviis pole teie MONEI kontol saadaval. Palun lubage see oma MONEI kontol, et seda kasutada."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Kaardimakse viis pole teie MONEI kontol saadaval. Palun lubage see oma MONEI kontol, et seda kasutada."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay ja Apple Pay makseviisid pole teie MONEI kontol saadaval. Lubage vähemalt üks neist oma MONEI kontol, et seda kasutada."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Multibanco makseviis pole teie MONEI kontol saadaval. Palun lubage see oma MONEI kontol, et seda kasutada."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","MBWay makseviis pole teie MONEI kontol saadaval. Palun lubage see oma MONEI kontol, et seda kasutada."
"Payment failed: %1","Makse ebaõnnestus: %1"
"Payment failed with error code %1: %2","Makse ebaõnnestus veakoodiga %1: %2"
"Stored Cards","Salvestatud Kaardid"
"Place Order","Esita Tellimus"
"Check / Money order","Tšekk / Rahakaart"
"Pay with other payment methods","Maksa teiste makseviisidega"
"Pay with card","Maksa kaardiga"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Salvestatud Kaardid (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Makse Töötlemine"
"Format JSON","Vorminda JSON"
"Invalid JSON","Kehtetu JSON"
"The JSON entered is invalid: %1","Sisestatud JSON on kehtetu: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Palun sisestage kehtiv JSON. Näited: {"height":"45px"} või {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Maksega ilmnes viga. Palun proovige uuesti."
"There was an error processing your payment. Please try again.","Teie makse töötlemisel ilmnes viga. Palun proovige uuesti."
"Ok","Ok"
"Are you sure you want to cancel this order?","Kas olete kindel, et soovite selle tellimuse tühistada?"
"English","Inglise"
"Spanish","Hispaania"
"Catalan","Katalaani"
"Portuguese","Portugali"
"German","Saksa"
"Italian","Itaalia"
"French","Prantsuse"
"Dutch","Hollandi"
"Estonian","Eesti"
"Finnish","Soome"
"Latvian","Läti"
"Norwegian","Norra"
"Polish","Poola"
"Russian","Vene"
"Card","Kaart"
"The credit memo's total must be positive.","Kreeditarve kogusumma peab olema positiivne."
"Cannot create online refund for Refund to Store Credit.","Ei saa luua veebipõhist tagasimakset Poe Krediidi Tagasimakseks."
"You created the credit memo.","Te lõite kreeditarve."
"We can't save the credit memo right now.","Me ei saa praegu kreeditarvet salvestada."
"Unable to acquire payment lock for order %1, payment %2","Ei õnnestu hankida makse lukustust tellimusele %1, makse %2"
"Unable to acquire order lock for order %1","Ei õnnestu hankida tellimuse lukustust tellimusele %1"
"Failed to convert Payment object to DTO: %1","Makse objekti teisendamine DTO-ks ebaõnnestus: %1"
"MONEI Payment Error: %1","MONEI Makse Viga: %1"
"Failed to fetch payment data: %1","Makse andmete hankimine ebaõnnestus: %1"
"Order status set to %1 after full refund.","Tellimuse olek seatud %1 pärast täielikku tagasimakset."
"Failed to execute %1: %2","Ei õnnestunud täita %1: %2"
"Store configuration issue: %1","Poe seadistuse probleem: %1"
"Parameter ""%1"" failed validation.","Parameeter ""%1"" ei läbinud valideerimist."
"Authentication error during reinitialization: Please check your MONEI API credentials","Autentimise viga taaskäivitamise ajal: Palun kontrollige oma MONEI API volitusi"
"Failed to reinitialize MONEI payment gateway: %1","MONEI makseväravavärava taaskäivitamine ebaõnnestus: %1"
"Domain is required for Apple Pay verification","Apple Pay kontrollimiseks on vajalik domeen"
"Could not load quote information","Ei saanud laadida hinnapakkumise teavet"
"Quote not found for this cart ID","Selle ostukorvi ID jaoks ei leitud hinnapakkumist"
"An error occurred while retrieving quote information","Hinnapakkumise teabe hankimisel ilmnes viga"
"Customer must be logged in to use saved cards","Klient peab olema sisse logitud, et kasutada salvestatud kaarte"
"The requested saved card was not found","Soovitud salvestatud kaarti ei leitud"
"Quote or payment card information not found","Hinnapakkumise või maksekaardi teavet ei leitud"
"Could not retrieve the saved card information.","Ei saanud hankida salvestatud kaardi teavet."
"MONEI only supports a single partial capture per payment. Please capture the full remaining amount.","MONEI toetab ainult ühte osalist kinnitust makse kohta. Palun kinnitage kogu järelejäänud summa."
"Cannot create an invoice without items.","Ei saa luua arvet ilma üksusteta."
"Payment not found","Makset ei leitud"
"Payment cannot be refunded","Makset ei saa tagastada"
"Quote not found","Hinnapakkumist ei leitud"
"Error processing payment","Viga makse töötlemisel"
"Error processing payment with saved card","Viga salvestatud kaardiga makse töötlemisel"
"Customer Email","Kliendi E-post"
"Customer Name","Kliendi Nimi"
"PayPal Order ID","PayPal Tellimuse ID"
"PayPal Customer ID","PayPal Kliendi ID"
"Payment details will be available after payment confirmation","Makse üksikasjad on saadaval pärast makse kinnitamist"
"Payment &amp; Shipping Method","Makse &amp; Tarne Meetod"
"Payment Information","Makse Teave"
"Shipping Information","Tarne Teave"
"Total Shipping Charges","Tarne Kogukulu"
"Incl. Tax","Koos Käibemaksuga"
"Refund Information","Tagasimakse Teave"
"MONEI Payment Details","MONEI Makse Üksikasjad"
"Payment ID:","Makse ID:"
"Status:","Olek:"
"Error Code:","Veakood:"
"Error Message:","Veateade:"
"Amount:","Summa:"
"Last Updated:","Viimati Uuendatud:"
"Log Level","Logimise Tase"
"Select the logging level for debug purposes. Higher levels include all lower levels.","Valige logimise tase silumise eesmärgil. Kõrgemad tasemed sisaldavad kõiki madalamaid tasemeid."
"Custom json style for the PayPal component. Must be valid JSON format. View more info <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">here</a>","Kohandatud json stiil PayPal komponendile. Peab olema kehtiv JSON formaat. Vaata rohkem infot <a href=""https://docs.monei.com/docs/monei-js/reference/#paypal-options"" target=""_blank"" rel=""noopener noreferrer"">siin</a>"
