"Authorize","Autorizēt"
"Authorize and Capture","Autorizēt un Iekasēt"
"Payment Action","Maksājuma Darbība"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Izvēlieties, vai tikai autorizēt maksājumus vai autorizēt un iekasēt tos nekavējoties. Piezīme: Iepriekšēja autorizācija (Autorizēt opcija) ir atbalstīta tikai karšu maksājumiem, nevis MBWay vai Multibanco."
"Authorized Status","Autorizēts Statuss"
"Captured Status","Iekasēts Statuss"
"Test","Tests"
"Production","Produkcija"
"Callback signature verification failed","Atgriezeniskā zvana paraksta verifikācija neizdevās"
"Something went wrong while processing the payment. Quote was restored.","Kaut kas nogāja greizi, apstrādājot maksājumu. Grozs tika atjaunots."
"Something went wrong while processing the payment. Cannot restore previous quote.","Kaut kas nogāja greizi, apstrādājot maksājumu. Nevar atjaunot iepriekšējo grozu."
"Payment was canceled. Quote was restored.","Maksājums tika atcelts. Grozs tika atjaunots."
"Duplicated","Dublēts"
"Fraudulent","Krāpniecisks"
"Requested by customer","Klienta pieprasīts"
"Required parameter ""%1"" is missing or empty.","Nepieciešamais parametrs ""%1"" trūkst vai ir tukšs."
"MONEI - Pending","MONEI - Gaida"
"MONEI - Authorized","MONEI - Autorizēts"
"MONEI - Expired","MONEI - Beidzies termiņš"
"MONEI - Failed","MONEI - Neizdevās"
"MONEI - Succeeded","MONEI - Veiksmīgs"
"MONEI - Partially Refunded","MONEI - Daļēji Atmaksāts"
"MONEI - Refunded","MONEI - Atmaksāts"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Atcelšanas iemesls '%1' nav derīgs. Atļautie iemesli: %2"
"%1 should be numeric value","%1 jābūt skaitliskai vērtībai"
"Refund reason","Atmaksas iemesls"
"Pay with Monei","Maksāt ar MONEI"
"method:","metode:"
"last4:","pēdējie 4:"
"brand:","zīmols:"
"phoneNumber:","tālruņa numurs:"
"Cardholder","Kartes īpašnieks"
"Payment Method","Maksājuma Metode"
"Digital Wallet","Digitālais Maks"
"Issuing Bank","Izdevējbanka"
"Phone Number","Tālruņa Numurs"
"Country","Valsts"
"Country Code","Valsts Kods"
"Required parameters are missing. Cannot proceed with cancellation.","Trūkst nepieciešamo parametru. Nevar turpināt atcelšanu."
"MONEI payment cancellation failed: %1","MONEI maksājuma atcelšana neizdevās: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI maksājuma atcelšana neizdevās. Lūdzu, pārbaudiet žurnālus, lai iegūtu vairāk informācijas."
"The order has been successfully canceled.","Pasūtījums ir veiksmīgi atcelts."
"Order cancellation failed: %1","Pasūtījuma atcelšana neizdevās: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Maksājuma atcelšanas laikā radās neparedzēta kļūda. Lūdzu, pārbaudiet žurnālus, lai iegūtu vairāk informācijas."
"Invalid request: %1","Nederīgs pieprasījums: %1"
"Payment required: %1","Nepieciešams maksājums: %1"
"Resource not found: %1","Resurss nav atrasts: %1"
"Operation conflict: %1","Darbības konflikts: %1"
"Validation error: %1","Validācijas kļūda: %1"
"An error occurred during the payment process","Maksājuma procesa laikā radās kļūda"
"Please enter the name on the card.","Lūdzu, ievadiet vārdu uz kartes."
"Please enter the name exactly as it appears on the card.","Lūdzu, ievadiet vārdu tieši tā, kā tas parādās uz kartes."
"(Test Mode)","(Testa Režīms)"
"Payment ID","Maksājuma ID"
"Authorization Code","Autorizācijas Kods"
"Cardholder Email","Kartes Īpašnieka E-pasts"
"IBAN","IBAN"
"Account Holder","Konta Īpašnieks"
"MONEI","MONEI"
"Current Version","Pašreizējā Versija"
"Webservice Settings:","Tīmekļa Pakalpojuma Iestatījumi:"
"Mode","Režīms"
"To define if we are going to connect with production or testing WS environment","Lai definētu, vai mēs savienosimies ar produkcijas vai testēšanas WS vidi"
"Test Account Id","Testa Konta ID"
"Production Account Id","Produkcijas Konta ID"
"Test Api Key","Testa API Atslēga"
"Production Api Key","Produkcijas API Atslēga"
"Language","Valoda"
"Basic settings:","Pamata iestatījumi:"
"Email Settings:","E-pasta Iestatījumi:"
"Send Order Email","Sūtīt Pasūtījuma E-pastu"
"Send Invoice Email","Sūtīt Rēķina E-pastu"
"Controls whether to send order confirmation emails after payment is confirmed","Kontrolē, vai sūtīt pasūtījuma apstiprinājuma e-pastus pēc maksājuma apstiprināšanas"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Kontrolē, vai sūtīt rēķina e-pastus automātiski izveidotiem rēķiniem. Neietekmē manuāli izveidotus rēķinus, kuriem tirgotāji var izvēlēties paziņot klientiem izveides laikā."
"MONEI Redirect:","MONEI Pāradresācija:"
"Enable","Iespējot"
"Title","Nosaukums"
"Description","Apraksts"
"Payment from Applicable Countries","Maksājums no Piemērojamām Valstīm"
"Payment from Specific Countries","Maksājums no Konkrētām Valstīm"
"Sort Order","Kārtošanas Secība"
"MONEI Card Insite:","MONEI Karte Vietnē:"
"Enable tokenization","Iespējot tokenizāciju"
"Json style","Json stils"
"MONEI Bizum Insite:","MONEI Bizum Vietnē:"
"MONEI Google and Apple Pay Insite:","MONEI Google un Apple Pay Vietnē:"
"Title Google Pay","Nosaukums Google Pay"
"Title Apple Pay","Nosaukums Apple Pay"
"Title Multibanco","Nosaukums Multibanco"
"Title MBWay","Nosaukums MBWay"
"Multibanco Redirect:","Multibanco Pāradresācija:"
"MBWay Redirect:","MBWay Pāradresācija:"
"MONEI PayPal Insite:","MONEI PayPal Vietnē:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Izvēlieties 'Jā', ja vēlaties iespējot šo maksājuma metodi. Pretējā gadījumā 'Nē'."
"Text that will be displayed in checkout","Teksts, kas tiks attēlots norēķinu lapā"
"Text that will be displayed in checkout for Google Pay","Teksts, kas tiks attēlots norēķinu lapā Google Pay"
"Text that will be displayed in checkout for Apple Pay","Teksts, kas tiks attēlots norēķinu lapā Apple Pay"
"Text that will be displayed in checkout for Multibanco","Teksts, kas tiks attēlots norēķinu lapā Multibanco"
"Text that will be displayed in checkout for MBWay","Teksts, kas tiks attēlots norēķinu lapā MBWay"
"Small description that will be displayed in checkout (Under title)","Neliels apraksts, kas tiks attēlots norēķinu lapā (zem nosaukuma)"
"Selectable with all the processing order statuses","Izvēlams ar visiem apstrādes pasūtījuma statusiem"
"Selectable with all the pending order statuses","Izvēlams ar visiem gaidošajiem pasūtījuma statusiem"
"In which order the payment method will be displayed in checkout","Kādā secībā maksājuma metode tiks attēlota norēķinu lapā"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Vai esat pārliecināts, ka vēlaties atcelt šo pasūtījumu? Šī darbība automātiski atcels autorizēto (neiekasēto) maksājumu un atbrīvos klienta līdzekļus."
"Cancel the order","Atcelt pasūtījumu"
"Never mind","Nekas"
"Cancel","Atcelt"
"Cancellation reason","Atcelšanas iemesls"
"MONEI API key is not configured. Please set it in the module configuration.","MONEI API atslēga nav konfigurēta. Lūdzu, iestatiet to moduļa konfigurācijā."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Pielāgots json stils kartes komponentam. Skatiet vairāk informācijas <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">šeit</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Pielāgots json stils bizum komponentam. Skatiet vairāk informācijas <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">šeit</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Pielāgots json stils google un apple komponentam. Skatiet vairāk informācijas <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">šeit</a>"
"Allowed Countries","Atļautās Valstis"
"Checking payment status...","Pārbauda maksājuma statusu..."
"Checking payment status, it may take a few seconds...","Pārbauda maksājuma statusu, tas var aizņemt dažas sekundes..."
"Loading","Ielāde"
"Payment error: %1","Maksājuma kļūda: %1"
"Payment error with code %1: %2","Maksājuma kļūda ar kodu %1: %2"
"Payment was canceled by the customer or the payment processor","Maksājumu atcēla klients vai maksājumu apstrādātājs"
"Payment expired","Maksājuma termiņš beidzies"
"Transaction approved","Darījums apstiprināts"
"Service internal error. Please contact support","Pakalpojuma iekšējā kļūda. Lūdzu, sazinieties ar atbalstu"
"Transaction failed during payment processing","Darījums neizdevās maksājuma apstrādes laikā"
"Transaction declined by the card-issuing bank","Darījums noraidīja kartes izdevējbanka"
"Transaction declined by the issuing bank","Darījumu noraidīja izdevējbanka"
"Payment method not allowed","Maksājuma metode nav atļauta"
"Wrong or not allowed currency","Nepareiza vai neatļauta valūta"
"Card rejected: invalid card number","Karte noraidīta: nederīgs kartes numurs"
"Card rejected: wrong expiration date","Karte noraidīta: nepareizs derīguma termiņš"
"Card rejected: wrong CVC/CVV2 number","Karte noraidīta: nepareizs CVC/CVV2 numurs"
"Card number not registered","Kartes numurs nav reģistrēts"
"Card is expired","Kartei beidzies derīguma termiņš"
"Strong Customer Authentication required","Nepieciešama Stingra Klienta Autentifikācija"
"3D Secure authentication failed","3D Secure autentifikācija neizdevās"
"Authentication process timed out. Please try again","Autentifikācijas process pārsniedza laika ierobežojumu. Lūdzu, mēģiniet vēlreiz"
"Transaction declined due to insufficient funds","Darījums noraidīts nepietiekamu līdzekļu dēļ"
"The user has canceled the payment","Lietotājs ir atcēlis maksājumu"
"Unknown error code: %1","Nezināms kļūdas kods: %1"
"You do not have permission to save this configuration.","Jums nav atļaujas saglabāt šo konfigurāciju."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Nederīgs JSON formāts laukā %1: %2. Lūdzu, pārliecinieties, ka sniedzat derīgu JSON. Piemēri:
                - Vienkāršam stilam: {"height":"45px"}
                - Iegultām īpašībām: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Pārliecinieties, ka visi īpašību nosaukumi un virkņu vērtības ir iekļautas dubultās pēdiņās
                - Pēc pēdējās īpašības nav atļauti komati"
"The resource isn't set.","Resurss nav iestatīts."
"An error occurred rendering the pay with card. Please try again later.","Radās kļūda, renderējot maksājumu ar karti. Lūdzu, mēģiniet vēlāk."
"Name on card","Vārds uz kartes"
"Card number","Kartes numurs"
"Save payment information to my account for future purchases","Saglabāt maksājuma informāciju manā kontā turpmākiem pirkumiem"
"An error occurred trying save the card.","Radās kļūda, mēģinot saglabāt karti."
"expires","derīgs līdz"
"It is not possible to make the payment with the saved card.","Nav iespējams veikt maksājumu ar saglabāto karti."
"Save MONEI tokenization?","Saglabāt MONEI tokenizāciju?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI maksājumu metodes nav pieejamas. Lūdzu, pārbaudiet savu MONEI konfigurāciju."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Bizum maksājuma metode nav pieejama jūsu MONEI kontā. Lūdzu, iespējojiet to savā MONEI kontā, lai to izmantotu."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Kartes maksājuma metode nav pieejama jūsu MONEI kontā. Lūdzu, iespējojiet to savā MONEI kontā, lai to izmantotu."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay un Apple Pay maksājumu metodes nav pieejamas jūsu MONEI kontā. Iespējojiet vismaz vienu no tām savā MONEI kontā, lai to izmantotu."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Multibanco maksājuma metode nav pieejama jūsu MONEI kontā. Lūdzu, iespējojiet to savā MONEI kontā, lai to izmantotu."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","MBWay maksājuma metode nav pieejama jūsu MONEI kontā. Lūdzu, iespējojiet to savā MONEI kontā, lai to izmantotu."
"Payment failed: %1","Maksājums neizdevās: %1"
"Payment failed with error code %1: %2","Maksājums neizdevās ar kļūdas kodu %1: %2"
"Stored Cards","Saglabātās Kartes"
"Place Order","Veikt Pasūtījumu"
"Check / Money order","Čeks / Naudas pārvedums"
"Pay with other payment methods","Maksāt ar citām maksājumu metodēm"
"Pay with card","Maksāt ar karti"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Saglabātās Kartes (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Apstrādā Maksājumu"
"Format JSON","Formatēt JSON"
"Invalid JSON","Nederīgs JSON"
"The JSON entered is invalid: %1","Ievadītais JSON ir nederīgs: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Lūdzu, ievadiet derīgu JSON. Piemēri: {"height":"45px"} vai {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Radās kļūda ar maksājumu. Lūdzu, mēģiniet vēlreiz."
"There was an error processing your payment. Please try again.","Radās kļūda, apstrādājot jūsu maksājumu. Lūdzu, mēģiniet vēlreiz."
"Ok","Labi"
"Are you sure you want to cancel this order?","Vai tiešām vēlaties atcelt šo pasūtījumu?"
"English","Angļu"
"Spanish","Spāņu"
"Catalan","Katalāņu"
"Portuguese","Portugāļu"
"German","Vācu"
"Italian","Itāļu"
"French","Franču"
"Dutch","Holandiešu"
"Estonian","Igauņu"
"Finnish","Somu"
"Latvian","Latviešu"
"Norwegian","Norvēģu"
"Polish","Poļu"
"Russian","Krievu"
