"Authorize","Autoriser"
"Authorize and Capture","Autoriser og Belast"
"Payment Action","Betalingshandling"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Velg om du bare vil autorisere betalinger eller autorisere og belaste dem umiddelbart. Merk: Forhåndsgodkjenning (Autoriser-alternativet) støttes bare for kortbetalinger, ikke for MBWay eller Multibanco."
"Authorized Status","Autorisert Status"
"Captured Status","Belastet Status"
"Test","Test"
"Production","Produksjon"
"Callback signature verification failed","Verifisering av tilbakekallssignatur mislyktes"
"Something went wrong while processing the payment. Quote was restored.","Noe gikk galt under behandling av betalingen. Handlekurven ble gjenopprettet."
"Something went wrong while processing the payment. Cannot restore previous quote.","Noe gikk galt under behandling av betalingen. Kan ikke gjenopprette tidligere handlekurv."
"Payment was canceled. Quote was restored.","Betalingen ble kansellert. Handlekurven ble gjenopprettet."
"Duplicated","Duplisert"
"Fraudulent","Bedragersk"
"Requested by customer","Forespurt av kunde"
"Required parameter ""%1"" is missing or empty.","Påkrevd parameter ""%1"" mangler eller er tom."
"MONEI - Pending","MONEI - Venter"
"MONEI - Authorized","MONEI - Autorisert"
"MONEI - Expired","MONEI - Utløpt"
"MONEI - Failed","MONEI - Mislyktes"
"MONEI - Succeeded","MONEI - Vellykket"
"MONEI - Partially Refunded","MONEI - Delvis Refundert"
"MONEI - Refunded","MONEI - Refundert"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Kanselleringsgrunn '%1' er ikke gyldig. Tillatte grunner: %2"
"%1 should be numeric value","%1 bør være en numerisk verdi"
"Refund reason","Refusjonsgrunn"
"Pay with Monei","Betal med MONEI"
"method:","metode:"
"last4:","siste 4:"
"brand:","merke:"
"phoneNumber:","telefonnummer:"
"Cardholder","Kortholder"
"Payment Method","Betalingsmetode"
"Digital Wallet","Digital Lommebok"
"Issuing Bank","Utstedende Bank"
"Phone Number","Telefonnummer"
"Country","Land"
"Country Code","Landkode"
"Required parameters are missing. Cannot proceed with cancellation.","Nødvendige parametere mangler. Kan ikke fortsette med kansellering."
"MONEI payment cancellation failed: %1","MONEI betalingskansellering mislyktes: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","MONEI betalingskansellering mislyktes. Vennligst sjekk loggene for mer informasjon."
"The order has been successfully canceled.","Bestillingen er kansellert."
"Order cancellation failed: %1","Bestillingskansellering mislyktes: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","En uventet feil oppstod under betalingskansellering. Vennligst sjekk loggene for mer informasjon."
"Invalid request: %1","Ugyldig forespørsel: %1"
"Payment required: %1","Betaling påkrevd: %1"
"Resource not found: %1","Ressurs ikke funnet: %1"
"Operation conflict: %1","Operasjonskonflikt: %1"
"Validation error: %1","Valideringsfeil: %1"
"An error occurred during the payment process","En feil oppstod under betalingsprosessen"
"Please enter the name on the card.","Vennligst skriv inn navnet på kortet."
"Please enter the name exactly as it appears on the card.","Vennligst skriv inn navnet nøyaktig slik det vises på kortet."
"(Test Mode)","(Testmodus)"
"Payment ID","Betalings-ID"
"Authorization Code","Autorisasjonskode"
"Cardholder Email","Kortholders E-post"
"IBAN","IBAN"
"Account Holder","Kontoeier"
"MONEI","MONEI"
"Current Version","Gjeldende Versjon"
"Webservice Settings:","Webtjeneste-innstillinger:"
"Mode","Modus"
"To define if we are going to connect with production or testing WS environment","For å definere om vi skal koble til produksjons- eller testmiljø for webtjenesten"
"Test Account Id","Test-konto-ID"
"Production Account Id","Produksjonskonto-ID"
"Test Api Key","Test-API-nøkkel"
"Production Api Key","Produksjons-API-nøkkel"
"Language","Språk"
"Basic settings:","Grunnleggende innstillinger:"
"Email Settings:","E-postinnstillinger:"
"Send Order Email","Send Bestillingsbekreftelse"
"Send Invoice Email","Send Faktura-e-post"
"Controls whether to send order confirmation emails after payment is confirmed","Kontrollerer om bestillingsbekreftelser skal sendes etter at betalingen er bekreftet"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Kontrollerer om faktura-e-poster skal sendes for automatisk opprettede fakturaer. Påvirker ikke manuelt opprettede fakturaer, der forhandlere kan velge å varsle kunder under opprettelsen."
"MONEI Redirect:","MONEI Omdirigering:"
"Enable","Aktiver"
"Title","Tittel"
"Description","Beskrivelse"
"Payment from Applicable Countries","Betaling fra Gjeldende Land"
"Payment from Specific Countries","Betaling fra Spesifikke Land"
"Sort Order","Sorteringsrekkefølge"
"MONEI Card Insite:","MONEI Kort På Stedet:"
"Enable tokenization","Aktiver tokenisering"
"Json style","Json-stil"
"MONEI Bizum Insite:","MONEI Bizum På Stedet:"
"MONEI Google and Apple Pay Insite:","MONEI Google og Apple Pay På Stedet:"
"Title Google Pay","Tittel Google Pay"
"Title Apple Pay","Tittel Apple Pay"
"Title Multibanco","Tittel Multibanco"
"Title MBWay","Tittel MBWay"
"Multibanco Redirect:","Multibanco Omdirigering:"
"MBWay Redirect:","MBWay Omdirigering:"
"MONEI PayPal Insite:","MONEI PayPal På Stedet:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Velg 'Ja' hvis du vil aktivere denne betalingsmetoden. Ellers 'Nei'."
"Text that will be displayed in checkout","Tekst som vil vises i kassen"
"Text that will be displayed in checkout for Google Pay","Tekst som vil vises i kassen for Google Pay"
"Text that will be displayed in checkout for Apple Pay","Tekst som vil vises i kassen for Apple Pay"
"Text that will be displayed in checkout for Multibanco","Tekst som vil vises i kassen for Multibanco"
"Text that will be displayed in checkout for MBWay","Tekst som vil vises i kassen for MBWay"
"Small description that will be displayed in checkout (Under title)","Liten beskrivelse som vil vises i kassen (Under tittel)"
"Selectable with all the processing order statuses","Valgbar med alle behandlingsordrestatuser"
"Selectable with all the pending order statuses","Valgbar med alle ventende ordrestatuser"
"In which order the payment method will be displayed in checkout","I hvilken rekkefølge betalingsmetoden vil vises i kassen"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Er du sikker på at du vil kansellere denne bestillingen? Denne handlingen vil automatisk kansellere den autoriserte (ikke belastede) betalingen og frigjøre kundens midler."
"Cancel the order","Kanseller bestillingen"
"Never mind","Glem det"
"Cancel","Avbryt"
"Cancellation reason","Kanselleringsgrunn"
"MONEI API key is not configured. Please set it in the module configuration.","MONEI API-nøkkel er ikke konfigurert. Vennligst sett den i modulkonfigurasjonen."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Tilpasset json-stil for kortkomponenten. Se mer informasjon <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">her</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Tilpasset json-stil for bizum-komponenten. Se mer informasjon <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">her</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Tilpasset json-stil for google- og apple-komponenten. Se mer informasjon <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">her</a>"
"Allowed Countries","Tillatte Land"
"Checking payment status...","Sjekker betalingsstatus..."
"Checking payment status, it may take a few seconds...","Sjekker betalingsstatus, det kan ta noen sekunder..."
"Loading","Laster"
"Payment error: %1","Betalingsfeil: %1"
"Payment error with code %1: %2","Betalingsfeil med kode %1: %2"
"Payment was canceled by the customer or the payment processor","Betalingen ble kansellert av kunden eller betalingsbehandleren"
"Payment expired","Betalingen utløp"
"Transaction approved","Transaksjon godkjent"
"Service internal error. Please contact support","Intern tjenestefeil. Vennligst kontakt support"
"Transaction failed during payment processing","Transaksjonen mislyktes under betalingsbehandling"
"Transaction declined by the card-issuing bank","Transaksjonen ble avvist av kortutstedende bank"
"Transaction declined by the issuing bank","Transaksjonen ble avvist av utstedende bank"
"Payment method not allowed","Betalingsmetode ikke tillatt"
"Wrong or not allowed currency","Feil eller ikke tillatt valuta"
"Card rejected: invalid card number","Kort avvist: ugyldig kortnummer"
"Card rejected: wrong expiration date","Kort avvist: feil utløpsdato"
"Card rejected: wrong CVC/CVV2 number","Kort avvist: feil CVC/CVV2-nummer"
"Card number not registered","Kortnummer ikke registrert"
"Card is expired","Kortet er utløpt"
"Strong Customer Authentication required","Sterk kundeautentisering påkrevd"
"3D Secure authentication failed","3D Secure-autentisering mislyktes"
"Authentication process timed out. Please try again","Autentiseringsprosessen ble tidsavbrutt. Vennligst prøv igjen"
"Transaction declined due to insufficient funds","Transaksjonen ble avvist på grunn av utilstrekkelige midler"
"The user has canceled the payment","Brukeren har kansellert betalingen"
"Unknown error code: %1","Ukjent feilkode: %1"
"You do not have permission to save this configuration.","Du har ikke tillatelse til å lagre denne konfigurasjonen."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Ugyldig JSON-format i %1-feltet: %2. Vennligst sørg for at du oppgir gyldig JSON. Eksempler:
                - For en enkel stil: {"height":"45px"}
                - For nestede egenskaper: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Sørg for at alle egenskapsnavn og strengverdier er omsluttet av doble anførselstegn
                - Ingen etterfølgende kommaer tillatt etter siste egenskap"
"The resource isn't set.","Ressursen er ikke satt."
"An error occurred rendering the pay with card. Please try again later.","Det oppstod en feil ved rendering av betal med kort. Vennligst prøv igjen senere."
"Name on card","Navn på kort"
"Card number","Kortnummer"
"Save payment information to my account for future purchases","Lagre betalingsinformasjon til min konto for fremtidige kjøp"
"An error occurred trying save the card.","Det oppstod en feil ved forsøk på å lagre kortet."
"expires","utløper"
"It is not possible to make the payment with the saved card.","Det er ikke mulig å gjennomføre betalingen med det lagrede kortet."
"Save MONEI tokenization?","Lagre MONEI-tokenisering?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","MONEI-betalingsmetoder er ikke tilgjengelige. Vennligst sjekk din MONEI-konfigurasjon."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Bizum-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Kortbetalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Google Pay- og Apple Pay-betalingsmetoder er ikke tilgjengelige i din MONEI-konto. Aktiver minst én av dem i din MONEI-konto for å bruke den."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Multibanco-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","MBWay-betalingsmetode er ikke tilgjengelig i din MONEI-konto. Vennligst aktiver den i din MONEI-konto for å bruke den."
"Payment failed: %1","Betaling mislyktes: %1"
"Payment failed with error code %1: %2","Betaling mislyktes med feilkode %1: %2"
"Stored Cards","Lagrede Kort"
"Place Order","Legg Inn Bestilling"
"Check / Money order","Sjekk / Pengeanvisning"
"Pay with other payment methods","Betal med andre betalingsmetoder"
"Pay with card","Betal med kort"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Lagrede Kort (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Behandler Betaling"
"Format JSON","Formater JSON"
"Invalid JSON","Ugyldig JSON"
"The JSON entered is invalid: %1","JSON-en som er angitt er ugyldig: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Vennligst angi gyldig JSON. Eksempler: {"height":"45px"} eller {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Det oppstod en feil med betalingen. Vennligst prøv igjen."
"There was an error processing your payment. Please try again.","Det oppstod en feil under behandling av betalingen din. Vennligst prøv igjen."
"Ok","Ok"
"Are you sure you want to cancel this order?","Er du sikker på at du vil kansellere denne bestillingen?"
"English","Engelsk"
"Spanish","Spansk"
"Catalan","Katalansk"
"Portuguese","Portugisisk"
"German","Tysk"
"Italian","Italiensk"
"French","Fransk"
"Dutch","Nederlandsk"
"Estonian","Estisk"
"Finnish","Finsk"
"Latvian","Latvisk"
"Norwegian","Norsk"
"Polish","Polsk"
"Russian","Russisk"
