"Authorize","Авторизовать"
"Authorize and Capture","Авторизовать и Списать"
"Payment Action","Действие Оплаты"
"Choose whether to only authorize payments or to authorize and capture them immediately. Note: Pre-authorization (Authorize option) is only supported for card payments, not for MBWay or Multibanco.","Выберите, только авторизовать платежи или авторизовать и списывать их немедленно. Примечание: Предварительная авторизация (опция Авторизовать) поддерживается только для карточных платежей, а не для MBWay или Multibanco."
"Authorized Status","Статус Авторизации"
"Captured Status","Статус Списания"
"Test","Тест"
"Production","Продакшн"
"Callback signature verification failed","Проверка подписи обратного вызова не удалась"
"Something went wrong while processing the payment. Quote was restored.","Что-то пошло не так при обработке платежа. Корзина была восстановлена."
"Something went wrong while processing the payment. Cannot restore previous quote.","Что-то пошло не так при обработке платежа. Невозможно восстановить предыдущую корзину."
"Payment was canceled. Quote was restored.","Платеж был отменен. Корзина была восстановлена."
"Duplicated","Дублированный"
"Fraudulent","Мошеннический"
"Requested by customer","По запросу клиента"
"Required parameter ""%1"" is missing or empty.","Обязательный параметр ""%1"" отсутствует или пуст."
"MONEI - Pending","MONEI - Ожидание"
"MONEI - Authorized","MONEI - Авторизовано"
"MONEI - Expired","MONEI - Истек срок"
"MONEI - Failed","MONEI - Не удалось"
"MONEI - Succeeded","MONEI - Успешно"
"MONEI - Partially Refunded","MONEI - Частично Возвращено"
"MONEI - Refunded","MONEI - Возвращено"
"Cancellation reason '%1' is not valid. Allowed reasons: %2","Причина отмены '%1' недействительна. Допустимые причины: %2"
"%1 should be numeric value","%1 должно быть числовым значением"
"Refund reason","Причина возврата"
"Pay with Monei","Оплатить с MONEI"
"method:","метод:"
"last4:","последние 4:"
"brand:","бренд:"
"phoneNumber:","номер телефона:"
"Cardholder","Держатель карты"
"Payment Method","Способ Оплаты"
"Digital Wallet","Цифровой Кошелек"
"Issuing Bank","Банк-эмитент"
"Phone Number","Номер Телефона"
"Country","Страна"
"Country Code","Код Страны"
"Required parameters are missing. Cannot proceed with cancellation.","Отсутствуют обязательные параметры. Невозможно продолжить отмену."
"MONEI payment cancellation failed: %1","Отмена платежа MONEI не удалась: %1"
"MONEI payment cancellation failed. Please check the logs for more details.","Отмена платежа MONEI не удалась. Пожалуйста, проверьте логи для получения дополнительной информации."
"The order has been successfully canceled.","Заказ был успешно отменен."
"Order cancellation failed: %1","Отмена заказа не удалась: %1"
"An unexpected error occurred during payment cancellation. Please check the logs for more details.","Произошла непредвиденная ошибка при отмене платежа. Пожалуйста, проверьте логи для получения дополнительной информации."
"Invalid request: %1","Недействительный запрос: %1"
"Payment required: %1","Требуется оплата: %1"
"Resource not found: %1","Ресурс не найден: %1"
"Operation conflict: %1","Конфликт операций: %1"
"Validation error: %1","Ошибка валидации: %1"
"An error occurred during the payment process","Произошла ошибка во время процесса оплаты"
"Please enter the name on the card.","Пожалуйста, введите имя на карте."
"Please enter the name exactly as it appears on the card.","Пожалуйста, введите имя точно так, как оно указано на карте."
"(Test Mode)","(Тестовый Режим)"
"Payment ID","ID Платежа"
"Authorization Code","Код Авторизации"
"Cardholder Email","Email Держателя Карты"
"IBAN","IBAN"
"Account Holder","Владелец Счета"
"MONEI","MONEI"
"Current Version","Текущая Версия"
"Webservice Settings:","Настройки Веб-сервиса:"
"Mode","Режим"
"To define if we are going to connect with production or testing WS environment","Для определения, будем ли мы подключаться к продакшн или тестовой среде WS"
"Test Account Id","ID Тестового Аккаунта"
"Production Account Id","ID Продакшн Аккаунта"
"Test Api Key","Тестовый Api Ключ"
"Production Api Key","Продакшн Api Ключ"
"Language","Язык"
"Basic settings:","Основные настройки:"
"Email Settings:","Настройки Email:"
"Send Order Email","Отправить Email Заказа"
"Send Invoice Email","Отправить Email Счета"
"Controls whether to send order confirmation emails after payment is confirmed","Контролирует, отправлять ли электронные письма с подтверждением заказа после подтверждения оплаты"
"Controls whether to send invoice emails for automatically created invoices. Does not affect manually created invoices, for which merchants can choose to notify customers during creation.","Контролирует, отправлять ли электронные письма со счетами для автоматически созданных счетов. Не влияет на счета, созданные вручную, для которых продавцы могут выбрать уведомление клиентов во время создания."
"MONEI Redirect:","Перенаправление MONEI:"
"Enable","Включить"
"Title","Заголовок"
"Description","Описание"
"Payment from Applicable Countries","Оплата из Применимых Стран"
"Payment from Specific Countries","Оплата из Определенных Стран"
"Sort Order","Порядок Сортировки"
"MONEI Card Insite:","MONEI Карта На Сайте:"
"Enable tokenization","Включить токенизацию"
"Json style","Json стиль"
"MONEI Bizum Insite:","MONEI Bizum На Сайте:"
"MONEI Google and Apple Pay Insite:","MONEI Google и Apple Pay На Сайте:"
"Title Google Pay","Заголовок Google Pay"
"Title Apple Pay","Заголовок Apple Pay"
"Title Multibanco","Заголовок Multibanco"
"Title MBWay","Заголовок MBWay"
"Multibanco Redirect:","Перенаправление Multibanco:"
"MBWay Redirect:","Перенаправление MBWay:"
"MONEI PayPal Insite:","MONEI PayPal На Сайте:"
"Select 'Yes' if you want to enable this payment method. Otherwise 'No'.","Выберите 'Да', если вы хотите включить этот способ оплаты. В противном случае 'Нет'."
"Text that will be displayed in checkout","Текст, который будет отображаться при оформлении заказа"
"Text that will be displayed in checkout for Google Pay","Текст, который будет отображаться при оформлении заказа для Google Pay"
"Text that will be displayed in checkout for Apple Pay","Текст, который будет отображаться при оформлении заказа для Apple Pay"
"Text that will be displayed in checkout for Multibanco","Текст, который будет отображаться при оформлении заказа для Multibanco"
"Text that will be displayed in checkout for MBWay","Текст, который будет отображаться при оформлении заказа для MBWay"
"Small description that will be displayed in checkout (Under title)","Небольшое описание, которое будет отображаться при оформлении заказа (под заголовком)"
"Selectable with all the processing order statuses","Выбираемый со всеми статусами обработки заказа"
"Selectable with all the pending order statuses","Выбираемый со всеми ожидающими статусами заказа"
"In which order the payment method will be displayed in checkout","В каком порядке способ оплаты будет отображаться при оформлении заказа"
"Are you certain you want to cancel this order? This action will automatically cancel the authorized (uncaptured) payment and release the customer's funds.","Вы уверены, что хотите отменить этот заказ? Это действие автоматически отменит авторизованный (не списанный) платеж и освободит средства клиента."
"Cancel the order","Отменить заказ"
"Never mind","Не важно"
"Cancel","Отмена"
"Cancellation reason","Причина отмены"
"MONEI API key is not configured. Please set it in the module configuration.","API ключ MONEI не настроен. Пожалуйста, установите его в конфигурации модуля."
"Custom json style for the card component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Пользовательский json стиль для компонента карты. Посмотрите дополнительную информацию <a href=\"https://docs.monei.com/docs/monei-js/reference/#cardinput-style-object\" target=\"_blank\" rel=\"noopener noreferrer\">здесь</a>"
"Custom json style for the bizum component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Пользовательский json стиль для компонента bizum. Посмотрите дополнительную информацию <a href=\"https://docs.monei.com/docs/monei-js/reference/#bizum-options\" target=\"_blank\" rel=\"noopener noreferrer\">здесь</a>"
"Custom json style for the google and apple component. View more info <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">here</a>","Пользовательский json стиль для компонента google и apple. Посмотрите дополнительную информацию <a href=\"https://docs.monei.com/docs/monei-js/reference/#paymentrequest-options\" target=\"_blank\" rel=\"noopener noreferrer\">здесь</a>"
"Allowed Countries","Разрешенные Страны"
"Checking payment status...","Проверка статуса платежа..."
"Checking payment status, it may take a few seconds...","Проверка статуса платежа, это может занять несколько секунд..."
"Loading","Загрузка"
"Payment error: %1","Ошибка платежа: %1"
"Payment error with code %1: %2","Ошибка платежа с кодом %1: %2"
"Payment was canceled by the customer or the payment processor","Платеж был отменен клиентом или процессором платежей"
"Payment expired","Срок платежа истек"
"Transaction approved","Транзакция одобрена"
"Service internal error. Please contact support","Внутренняя ошибка сервиса. Пожалуйста, свяжитесь с поддержкой"
"Transaction failed during payment processing","Транзакция не удалась во время обработки платежа"
"Transaction declined by the card-issuing bank","Транзакция отклонена банком-эмитентом карты"
"Transaction declined by the issuing bank","Транзакция отклонена банком-эмитентом"
"Payment method not allowed","Способ оплаты не разрешен"
"Wrong or not allowed currency","Неправильная или не разрешенная валюта"
"Card rejected: invalid card number","Карта отклонена: недействительный номер карты"
"Card rejected: wrong expiration date","Карта отклонена: неправильная дата истечения срока"
"Card rejected: wrong CVC/CVV2 number","Карта отклонена: неправильный номер CVC/CVV2"
"Card number not registered","Номер карты не зарегистрирован"
"Card is expired","Срок действия карты истек"
"Strong Customer Authentication required","Требуется Строгая Аутентификация Клиента"
"3D Secure authentication failed","Аутентификация 3D Secure не удалась"
"Authentication process timed out. Please try again","Процесс аутентификации истек по времени. Пожалуйста, попробуйте снова"
"Transaction declined due to insufficient funds","Транзакция отклонена из-за недостаточных средств"
"The user has canceled the payment","Пользователь отменил платеж"
"Unknown error code: %1","Неизвестный код ошибки: %1"
"You do not have permission to save this configuration.","У вас нет разрешения на сохранение этой конфигурации."
"Invalid JSON format in %1 field: %2. Please ensure that you provide valid JSON. Examples:
                - For a simple style: {"height":"45px"}
                - For nested properties: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Make sure all property names and string values are enclosed in double quotes
                - No trailing commas allowed after the last property","Недействительный формат JSON в поле %1: %2. Пожалуйста, убедитесь, что вы предоставляете действительный JSON. Примеры:
                - Для простого стиля: {"height":"45px"}
                - Для вложенных свойств: {"base":{"height":"30px","padding":"0"},"input":{"height":"30px"}}
                - Убедитесь, что все имена свойств и строковые значения заключены в двойные кавычки
                - После последнего свойства не допускаются запятые"
"The resource isn't set.","Ресурс не установлен."
"An error occurred rendering the pay with card. Please try again later.","Произошла ошибка при отображении оплаты картой. Пожалуйста, попробуйте позже."
"Name on card","Имя на карте"
"Card number","Номер карты"
"Save payment information to my account for future purchases","Сохранить информацию об оплате в моей учетной записи для будущих покупок"
"An error occurred trying save the card.","Произошла ошибка при попытке сохранить карту."
"expires","истекает"
"It is not possible to make the payment with the saved card.","Невозможно произвести оплату сохраненной картой."
"Save MONEI tokenization?","Сохранить токенизацию MONEI?"
"MONEI payment methods are not available. Please, check your MONEI configuration.","Способы оплаты MONEI недоступны. Пожалуйста, проверьте вашу конфигурацию MONEI."
"Bizum payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Способ оплаты Bizum недоступен в вашей учетной записи MONEI. Пожалуйста, включите его в вашей учетной записи MONEI, чтобы использовать его."
"Card payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Способ оплаты картой недоступен в вашей учетной записи MONEI. Пожалуйста, включите его в вашей учетной записи MONEI, чтобы использовать его."
"Google Pay and Apple Pay payment methods are not available in your MONEI account. Enable at least one of them in your MONEI account to use it.","Способы оплаты Google Pay и Apple Pay недоступны в вашей учетной записи MONEI. Включите хотя бы один из них в вашей учетной записи MONEI, чтобы использовать его."
"Multibanco payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Способ оплаты Multibanco недоступен в вашей учетной записи MONEI. Пожалуйста, включите его в вашей учетной записи MONEI, чтобы использовать его."
"MBWay payment method is not available in your MONEI account. Please enable it in your MONEI account to use it.","Способ оплаты MBWay недоступен в вашей учетной записи MONEI. Пожалуйста, включите его в вашей учетной записи MONEI, чтобы использовать его."
"Payment failed: %1","Платеж не удался: %1"
"Payment failed with error code %1: %2","Платеж не удался с кодом ошибки %1: %2"
"Stored Cards","Сохраненные Карты"
"Place Order","Разместить Заказ"
"Check / Money order","Чек / Денежный перевод"
"Pay with other payment methods","Оплатить другими способами оплаты"
"Pay with card","Оплатить картой"
"Google Pay","Google Pay"
"Multibanco","Multibanco"
"MBWay","MBWay"
"Bizum","Bizum"
"Stored Cards (Monei)","Сохраненные Карты (MONEI)"
"Google/Apple Pay","Google/Apple Pay"
"Processing Payment","Обработка Платежа"
"Format JSON","Форматировать JSON"
"Invalid JSON","Недействительный JSON"
"The JSON entered is invalid: %1","Введенный JSON недействителен: %1"
"Please enter valid JSON. Examples: {"height":"45px"} or {"base":{"height":"30px"}}","Пожалуйста, введите действительный JSON. Примеры: {"height":"45px"} или {"base":{"height":"30px"}}"
"An error occurred with the payment. Please try again.","Произошла ошибка с платежом. Пожалуйста, попробуйте снова."
"There was an error processing your payment. Please try again.","Произошла ошибка при обработке вашего платежа. Пожалуйста, попробуйте снова."
"Ok","Ок"
"Are you sure you want to cancel this order?","Вы уверены, что хотите отменить этот заказ?"
"English","Английский"
"Spanish","Испанский"
"Catalan","Каталонский"
"Portuguese","Португальский"
"German","Немецкий"
"Italian","Итальянский"
"French","Французский"
"Dutch","Голландский"
"Estonian","Эстонский"
"Finnish","Финский"
"Latvian","Латвийский"
"Norwegian","Норвежский"
"Polish","Польский"
"Russian","Русский"
